epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.57136,2.25452,5.05641,1.78395,0.00319,0.95652,0.59439,0.24751,1.41391,4.15452,1.02118,0.0003,0.0003,0.0003
2,12.4751,1.4916,3.17579,1.05917,0.0029,0.86957,0.27962,0.12348,1.59948,4.33221,1.14476,0.000613862,0.000613862,0.000613862
3,16.2235,1.60477,2.5564,1.19233,0.00304,0.91304,0.08006,0.02109,1.45031,4.33252,1.1605,0.000921388,0.000921388,0.000921388
4,19.5306,1.36479,2.56844,1.0697,0.00319,0.95652,0.42079,0.11191,1.3745,3.90502,1.05934,0.00122258,0.00122258,0.00122258
5,22.8627,1.52513,2.28632,1.19447,0.77833,0.47826,0.64622,0.26019,1.59103,3.48742,1.17802,0.00151743,0.00151743,0.00151743
6,26.3526,1.58694,2.00877,1.17871,0.58224,0.43478,0.41751,0.18938,1.49662,2.94683,1.15263,0.00180595,0.00180595,0.00180595
7,29.4777,1.47768,1.83013,1.17814,0.68504,0.66229,0.75657,0.38255,1.48206,2.41562,1.13722,0.0018812,0.0018812,0.0018812
8,32.6741,1.47863,1.78706,1.24133,0.5937,0.69895,0.70096,0.38447,1.511,2.09206,1.12381,0.0018614,0.0018614,0.0018614
9,35.7855,1.49067,1.75774,1.18644,0.22594,0.91304,0.32497,0.18041,1.46357,2.09753,1.14598,0.0018416,0.0018416,0.0018416
10,38.9053,1.46095,1.68799,1.16387,0.87288,0.89605,0.93976,0.56757,1.40132,1.83651,1.13103,0.0018218,0.0018218,0.0018218
11,42.1818,1.36378,1.68102,1.13178,0.90305,0.95652,0.93547,0.47954,1.52744,2.91067,1.14038,0.001802,0.001802,0.001802
12,45.4198,1.31412,1.58993,1.0733,0.90886,1,0.99333,0.55442,1.33963,1.69884,1.0646,0.0017822,0.0017822,0.0017822
13,48.8009,1.40757,1.54333,1.08168,0.81499,0.95768,0.96524,0.58398,1.28249,1.38512,1.11746,0.0017624,0.0017624,0.0017624
14,51.8993,1.44288,1.4343,1.17215,0.952,0.8627,0.91005,0.53473,1.4091,1.23654,1.09241,0.0017426,0.0017426,0.0017426
15,54.908,1.53304,1.4766,1.17931,1,0.86501,0.9769,0.44784,1.56135,1.16429,1.18747,0.0017228,0.0017228,0.0017228
16,58.0226,1.47794,1.29921,1.18377,0.94384,0.86957,0.97325,0.53527,1.26855,1.15134,1.05185,0.001703,0.001703,0.001703
17,61.1769,1.28469,1.18621,1.10819,0.90884,0.95652,0.94726,0.44152,1.46489,1.19647,1.11184,0.0016832,0.0016832,0.0016832
18,64.3182,1.39759,1.25109,1.1106,0.85404,0.95652,0.97374,0.52591,1.33168,1.03704,1.04398,0.0016634,0.0016634,0.0016634
19,67.3765,1.44157,1.26003,1.08194,0.99047,1,0.995,0.5913,1.20005,0.94002,0.96358,0.0016436,0.0016436,0.0016436
20,70.6193,1.36919,1.12238,1.07537,0.94992,0.95652,0.94691,0.52857,1.47435,0.99795,1.06014,0.0016238,0.0016238,0.0016238
21,74.0579,1.31851,1.08266,1.05321,0.94512,0.95652,0.96969,0.56587,1.37558,0.86886,1.07024,0.001604,0.001604,0.001604
22,77.5359,1.36699,1.1048,1.09706,0.95316,1,0.99167,0.59106,1.34588,0.87008,1.03755,0.0015842,0.0015842,0.0015842
23,80.8792,1.23239,1.06942,1.03046,0.95615,0.94832,0.96178,0.58863,1.28103,0.93712,0.99979,0.0015644,0.0015644,0.0015644
24,84.3497,1.20368,1.07746,0.98965,1,0.95013,0.99333,0.57334,1.39757,0.87667,1.03813,0.0015446,0.0015446,0.0015446
25,87.9995,1.18305,1.02423,0.99702,0.93094,0.95652,0.94416,0.63823,1.20817,0.82606,0.98741,0.0015248,0.0015248,0.0015248
26,91.6092,1.27699,1.01648,1.07776,0.93715,0.91304,0.91154,0.49716,1.64732,1.02454,1.14927,0.001505,0.001505,0.001505
27,95.1541,1.25638,1.00554,1.07923,0.95407,0.90348,0.94708,0.61874,1.28895,0.86495,1.01886,0.0014852,0.0014852,0.0014852
28,98.8041,1.30547,0.95602,1.06328,1,0.98875,0.995,0.67188,1.16661,0.80808,0.96892,0.0014654,0.0014654,0.0014654
29,102.381,1.22467,0.92375,1.04096,0.99058,1,0.995,0.61303,1.17676,0.96249,0.99755,0.0014456,0.0014456,0.0014456
30,106.26,1.23207,0.97403,1.04524,0.95432,0.90858,0.96042,0.5936,1.29816,1.03555,1.00374,0.0014258,0.0014258,0.0014258
31,109.699,1.30132,0.92278,1.05122,0.95626,0.95072,0.94645,0.5517,1.43286,0.78415,1.04788,0.001406,0.001406,0.001406
32,113.143,1.25223,0.88716,1.05341,0.94529,0.91304,0.95674,0.56039,1.54465,0.88888,1.07952,0.0013862,0.0013862,0.0013862
33,116.452,1.35789,0.98339,1.06881,0.94186,0.95652,0.96892,0.6256,1.22448,0.85215,0.98761,0.0013664,0.0013664,0.0013664
34,119.75,1.27928,0.93021,1.04879,0.99232,1,0.995,0.63483,1.263,0.78777,0.98796,0.0013466,0.0013466,0.0013466
35,123.409,1.29258,0.87315,1.06707,0.95805,0.99332,0.99167,0.62948,1.30956,0.77767,1.02323,0.0013268,0.0013268,0.0013268
36,126.891,1.23218,0.96785,1.03671,0.86887,0.95652,0.9494,0.63506,1.33891,0.79186,1.05847,0.001307,0.001307,0.001307
37,130.227,1.27476,0.92585,1.0521,0.91296,0.95652,0.92413,0.60893,1.33756,0.81286,1.11878,0.0012872,0.0012872,0.0012872
38,133.452,1.27883,0.92252,1.08608,0.94076,0.95652,0.94146,0.53718,1.39933,0.77894,1.08588,0.0012674,0.0012674,0.0012674
39,136.954,1.25694,0.86596,1.0609,0.99485,1,0.995,0.63018,1.20398,0.73584,0.97979,0.0012476,0.0012476,0.0012476
40,140.457,1.20197,0.82616,1.02883,0.99608,1,0.995,0.60663,1.31337,0.76074,0.99366,0.0012278,0.0012278,0.0012278
41,143.793,1.24267,0.86387,1.05358,0.99609,1,0.995,0.64278,1.25289,0.75656,0.98542,0.001208,0.001208,0.001208
